대표지번,진행단계,위도,경도,cate_code
영등포동2가 159-,정비구역지정,37.52125,126.91222,2
가락동 96-1,정비구역지정,35.190215,128.8920173,2
교남동 28,정비구역지정,37.5707991,126.9608805,2
수색동 32-13,정비구역지정,37.58518725,126.8948584489098,2
천호동 461-31,정비구역지정,37.54294,127.12733,2
영등포동5가 64,정비구역지정,37.52095,126.9066,2
영등포동5가 49-1,정비구역지정,37.52095,126.9066,2
영등포동5가 34-46,정비구역지정,37.52095,126.9066,2
문래동1가 70-1,정비구역지정,37.51217,126.89799,2
영등포동2가 34-75,정비구역지정,37.52125,126.91222,2
영등포동2가 256-,정비구역지정,37.52125,126.91222,2
영등포동2가 328-11,정비구역지정,37.52125,126.91222,2
영등포동5가 38-3,정비구역지정,37.52095,126.9066,2
영등포동5가 100,정비구역지정,37.52095,126.9066,2
영등포동2가 299-,정비구역지정,37.52125,126.91222,2
영등포동5가 81-1,정비구역지정,37.52095,126.9066,2
영등포동5가 6,정비구역지정,37.5205902,126.9040351,2
가산동 12-31,정비구역지정,37.47532525,126.88639535805152,2
반포동 60-4,정비구역지정,37.50312,127.0014,2
신길동 205-136,정비구역지정,37.3335204,126.77378,2
불광동 600,정비구역지정,37.6160647,126.9339579,2
성산동 466,정비구역지정,37.56775,126.90263,2
영등포동5가 46-4,정비구역지정,37.52095,126.9066,2
당산동2가 30-2,조합설립추진위원회승인,37.5224036,126.89391,3
휘경동 43,조합설립추진위원회승인,37.58823975,127.0626972803802,3
양재동 18-12,조합설립추진위원회승인,37.46838,127.0361,3
신길동 347-86,조합설립추진위원회승인,37.3335204,126.77378,3
신정동 1190-1,조합설립추진위원회승인,35.53487,129.31199,3
신길동 3923,조합설립추진위원회승인,37.3335204,126.77378,3
영등포동7가 64-3,조합설립추진위원회승인,37.5246695,126.9073675901746,3
신길동 4-79,조합설립추진위원회승인,37.3335204,126.77378,3
이태원동 22-2,조합설립추진위원회승인,37.53842,126.992,3
양평동2가 29-6,조합설립추진위원회승인,37.52357,126.88288,3
신정동 1182-1,조합설립추진위원회승인,35.53487,129.31199,3
