대표지번,진행단계,cate_code,위도,경도
대조동 88,착공신고,9,37.612610000000004,126.92278351858204
행당동 248,조합설립추진위원회승인,3,37.55783,127.03571
석관동 334-69,조합설립인가,4,37.60789015,127.06148520004993
종암동 112-37,조합설립인가,4,37.59631,127.03333
중화동 329-38,조합설립인가,4,37.59755,127.07783
상도동 194-27,조합설립인가,4,37.4988159,126.9441045
방화동 615-103,사업시행인가,5,37.57682,126.81422
흑석동 99-3,조합설립인가,4,37.5064393,126.963687
상도동 244-1,정비계획 수립,1,37.4988159,126.9441045
영등포동4가 431-6,조합설립인가,4,37.51777,126.90368
상봉동 304-4,조합설립인가,4,35.203496599999994,128.07191852499722
사당동 192-1,조합설립인가,4,37.4856963,126.9723525
종암동 125-35,정비계획 수립,1,37.59631,127.03333
천호동 145-66,조합설립인가,4,37.54294,127.12733
신길동 325-57,조합설립인가,4,37.3335204,126.77378
보광동 272-3,사업시행인가,5,37.5267109,127.00021654781031
목동 911,정비구역지정,2,36.3341817,127.4091513
제기동 120-104,관리처분인가,6,37.58465,127.03678
시흥동 817,조합설립인가,4,37.4507049,126.9085555
상도동 182-13,조합설립인가,4,,
사당동 156-3,조합설립인가,4,37.4856963,126.9723525
사당동 161-55,조합설립인가,4,37.4856963,126.9723525
오류동 206-2,조합설립추진위원회승인,3,36.3253384,127.4050329
면목동 109-2,조합설립인가,4,37.58178,127.09034
원효로1가 82-1,정비계획 수립,1,37.537689150000006,126.96732507803657
한강로3가 65-342,정비계획 수립,1,37.52754,126.96297
청파동1가 46,정비계획 수립,1,37.5488,126.96668
중화동 327-49,조합설립인가,4,37.59755,127.07783
석관동 62-1,정비계획 수립,1,37.60789015,127.06148520004993
여의도동 51,조합설립인가,4,,
오금동 143-1,사업시행인가,5,37.348425399999996,126.92938338827679
장위동 25-55,착공신고,9,37.6162,127.05086
자양동 588-22,조합설립인가,4,36.3366812,127.4490374
번동 458-31,조합설립인가,4,37.62929,127.03684
문정동 3,조합설립인가,4,37.48356839955601,127.12357514115676
구수동 16-1,정비계획 수립,1,37.54616,126.93299
시흥동 933,조합설립인가,4,37.4507049,126.9085555
시흥동 109,사업시행인가,5,37.4507049,126.9085555
마천동 183-1,정비계획 수립,1,35.1267919,128.7835554
양평동1가 243-1,관리처분인가,6,37.52309,126.88868
상계동 154-3,정비구역지정,2,37.66727,127.07242
잠원동 54,조합설립인가,4,37.518254400000004,127.01240284968915
석촌동 287,조합설립인가,4,37.5024827,127.103495
오금동 36-1,조합설립인가,4,37.348425399999996,126.92938338827679
송파동 100,조합설립인가,4,37.50479,127.11369
홍제동 57-5,준공인가,11,37.5871,126.94676
흑석동 43-7,조합설립인가,4,37.5064393,126.963687
남가좌동 11-11,정비계획 수립,1,37.57744,126.9179
마곡동 327-53,정비구역지정,2,37.56619,126.8255083
영등포동 618-83,정비계획 수립,1,37.5222786,126.90785736304467
신길동 278-121,정비계획 수립,1,37.3335204,126.77378
신길동 4918-5,정비계획 수립,1,37.3335204,126.77378
신길동 4377,관리처분인가,6,37.3335204,126.77378
방이동 217,조합설립인가,4,37.5141564,127.1195472
신림동 655-78,조합설립인가,4,37.48682825,126.92826657522511
