진행단계,정비구역명칭,정비구역면적(㎡),사업구분,재건축단계,서울시_정비구역위치,Latitude,Longitude,cate_code
조합설립인가,봉천1-1구역주택재건축정비사업,34142.0,재건축,조합 설립 전,서울시 관악구 봉천동(보라매동) 728-57번지,37.4902606,126.9323271,4
조합설립추진위원회승인,성북제1구역주택재개발정비사업조합설립추지위원회,127899.0,재개발(주택정비형),조합 설립 전,서울시 성북1동 179-68번지,37.5952093,126.9978087,3
조합설립인가,불광1주택재건축정비사업,25692.0,재건축,조합 설립 전,서울시 은평구 불광동 19-3,37.6199724,126.9325318,4
조합설립인가,(가칭)신림지역주택조합 추진위원회,62249.0,지역주택,조합 설립 전,서울시 관악구 신림동 1480-1,37.4794824,126.9142114,4
조합설립인가,신수동무쇠막 지역주택조합,15848.0,지역주택,조합 설립 전,서울시 마포구 신수동 91-90,37.548623,126.935532,4
조합설립인가,봉천제14구역 재개발정비사업,74264.5,재개발(주택정비형),조합 설립 전,서울시 봉천3동 4-51번지 일원,37.4892764,126.9590257,4
조합설립인가,번동6구역 가로주택정비사업,9123.9,가로주택정비,조합 설립 전,서울시 강북구 번동 454-61,37.6364085,127.0346352,4
정비계획 수립,신이문2 역세권 도시정비형 재개발정비사업,18004.0,재개발(도시정비형),조합 설립 전,서울시 동대문구 이문동 170-65,37.6003576,127.06553,1
조합설립인가,정릉동 226-1번지 일대 가로주택정비사업조합,7924.34,가로주택정비,조합 설립 전,서울시 성북구 정릉로27길 123 B01호(정릉동 금강빌라),37.6090355,127.0134966,4
조합설립인가,한성아파트 소규모재건축정비사업,6508.0,소규모재건축,조합 설립 전,서울시 구로구 고척동 227-1 227-6,37.5082328,126.8537716,4
조합설립인가,(가칭)구로3동16통24통 지역주택조합,7935.92,지역주택,조합 설립 전,서울시 구로구 구로동 153-3,37.4911947,126.8945167,4
조합설립인가,면목역2구역 가로주택정비사업,15930.9,가로주택정비,조합 설립 전,서울시 중랑구 면목동 1251-4,37.5916834,127.0906628,4
조합설립인가,하월곡2구역 가로주택정비사업조합,8433.0,가로주택정비,조합 설립 전,서울시 성북구 하월곡동 40-107,37.6015143,127.042687,4
